,power_SO,power_SO_relative,power_delta,power_delta_relative,power_sigma,power_sigma_relative,maxi,idx_maxi,mini,idx_mini,slope_positive,second_maxi,idx_second_maxi,slope_negative,num_of_zc_min_max,num_of_zc_max_min,kurtosis,skewness,KC
0,13.212,0.037,214.755,0.598,19.759,0.055,28.45,211,-58.41,189,3.948,7.467,156,-1.996,1,1,0.958,-0.955,yes
1,12.343,0.04,234.437,0.756,21.545,0.069,43.593,225,-46.397,175,1.8,9.632,141,-1.648,1,1,2.708,-0.651,yes
2,21.055,0.042,346.471,0.694,18.549,0.037,40.637,210,-52.554,190,4.66,17.861,141,-1.437,1,1,0.634,-0.541,yes
3,79.289,0.138,270.497,0.471,12.164,0.021,50.689,215,-38.902,186,3.089,33.281,163,-3.138,1,1,-0.015,0.319,yes
4,5.538,0.008,525.288,0.789,36.334,0.055,44.623,212,-82.995,188,5.317,21.303,147,-2.544,1,1,1.89,-0.675,yes
5,105.714,0.194,349.398,0.64,23.028,0.042,33.129,242,-45.963,158,0.942,24.269,139,-3.696,1,1,-0.317,-0.021,yes
6,392.079,0.298,761.893,0.58,12.02,0.009,63.34,239,-78.378,161,1.817,28.201,111,-2.132,3,1,1.007,-0.681,yes
7,356.25,0.347,538.16,0.524,5.384,0.005,58.432,243,-69.079,158,1.5,-4.357,132,-2.489,1,0,1.337,-0.925,yes
8,122.837,0.185,329.836,0.496,24.61,0.037,58.647,210,-49.494,191,5.692,16.546,169,-3.002,1,1,0.491,0.372,yes
9,363.377,0.242,869.426,0.579,48.905,0.033,70.341,243,-66.741,158,1.613,45.857,117,-2.746,3,1,0.35,-0.553,yes
10,12.505,0.04,181.321,0.58,13.323,0.043,22.612,216,-54.169,185,2.477,13.995,141,-1.549,1,3,1.22,-0.171,yes
11,721.455,0.404,805.88,0.451,27.82,0.016,67.716,237,-72.815,163,1.899,-0.413,117,-1.574,1,0,-0.431,-0.56,yes
12,1086.11,0.474,810.427,0.353,10.104,0.004,43.961,219,-60.337,150,1.512,3.581,102,-1.332,3,1,0.775,-1.111,yes
13,543.358,0.301,945.693,0.524,58.614,0.032,68.82,249,-73.017,152,1.462,29.001,138,-7.287,3,1,0.048,-0.563,yes
14,2037.483,0.428,2070.298,0.435,46.291,0.01,81.545,237,-136.402,163,2.945,-26.819,119,-2.491,1,0,-0.485,-0.544,yes
15,152.853,0.182,365.052,0.435,44.249,0.053,66.011,229,-42.556,172,1.905,28.608,132,-1.779,1,3,-0.31,0.278,yes
16,2563.203,0.513,944.462,0.189,57.596,0.012,95.111,246,-16.538,152,1.188,-13.293,148,-0.811,3,0,-0.501,-0.266,yes
17,4279.898,0.488,2556.177,0.291,20.637,0.002,127.736,243,-131.876,150,2.792,18.073,101,-3.06,1,1,-1.235,0.016,yes
18,1222.367,0.288,2417.647,0.569,8.142,0.002,127.295,230,-50.042,170,2.956,42.02,128,-2.192,1,1,-0.083,0.428,yes
19,89.705,0.115,631.119,0.807,3.949,0.005,40.166,221,-72.837,180,2.756,-0.3,143,-1.96,1,0,1.223,-0.715,yes
20,357.06,0.308,407.382,0.351,80.028,0.069,31.902,228,-95.551,172,2.276,-9.759,145,-3.178,1,0,0.68,-0.718,yes
21,267.588,0.228,771.195,0.658,16.584,0.014,53.535,222,-76.173,179,3.016,-5.19,146,-2.151,1,0,1.658,-0.853,yes
22,1873.951,0.38,2334.236,0.473,34.067,0.007,93.009,228,-124.347,172,3.881,-16.288,122,-2.161,1,0,0.266,-0.85,yes
