,power_SO,power_SO_relative,power_delta,power_delta_relative,power_sigma,power_sigma_relative,maxi,idx_maxi,mini,idx_mini,slope_positive,second_maxi,idx_second_maxi,slope_negative,num_of_zc_min_max,num_of_zc_max_min,kurtosis,skewness,KC
0,16.838,0.047,208.257,0.585,21.876,0.061,28.45,222,-57.279,199,3.727,7.467,167,-2.023,1,1,0.88,-0.957,yes
1,12.37,0.042,219.871,0.75,19.369,0.066,43.573,249,-44.359,199,1.759,9.632,166,-1.636,1,1,2.559,-0.581,yes
2,22.325,0.045,350.527,0.701,16.623,0.033,40.637,220,-51.521,199,4.388,18.047,149,-1.391,1,1,0.593,-0.569,yes
3,66.455,0.116,267.932,0.469,13.428,0.024,50.689,229,-38.597,199,2.976,33.281,177,-3.267,1,1,-0.018,0.333,yes
4,6.25,0.009,526.267,0.786,37.559,0.056,44.623,224,-78.589,199,4.928,21.303,159,-2.497,1,1,2.115,-0.747,yes
5,82.706,0.162,311.381,0.61,25.532,0.05,10.995,249,-45.471,199,1.129,24.269,181,-3.874,1,1,-0.496,-0.195,yes
6,314.73,0.24,844.681,0.643,10.183,0.008,33.734,249,-78.254,199,2.24,28.201,150,-2.173,3,1,1.822,-0.953,yes
7,333.434,0.31,570.677,0.531,5.199,0.005,25.709,230,-69.068,199,3.057,-4.357,174,-2.588,1,0,1.622,-1.028,yes
8,120.728,0.187,324.693,0.502,19.869,0.031,58.647,219,-47.018,199,5.283,16.546,178,-3.027,1,1,0.501,0.369,yes
9,259.445,0.189,918.526,0.67,44.315,0.032,7.849,230,-65.584,199,2.369,45.857,159,-2.786,1,1,-0.141,-0.279,yes
10,18.294,0.057,179.025,0.554,16.644,0.052,22.612,231,-53.335,199,2.373,13.995,156,-1.566,1,3,1.656,-0.195,yes
11,658.308,0.378,816.156,0.468,25.334,0.015,36.359,246,-71.882,199,2.303,-0.413,154,-1.588,1,0,-0.48,-0.45,yes
12,992.869,0.323,1382.566,0.45,14.246,0.005,3.828,245,-101.681,199,2.294,11.475,149,-2.263,1,3,0.694,-1.172,yes
13,414.37,0.25,864.899,0.522,32.804,0.02,-19.802,249,-71.294,199,1.03,29.001,186,-7.715,0,1,0.54,-0.77,yes
14,1900.986,0.39,2098.376,0.43,62.315,0.013,16.612,246,-135.483,199,3.236,-26.819,156,-2.527,1,0,-0.24,-0.75,yes
15,99.713,0.149,344.981,0.517,32.315,0.048,46.541,248,-41.429,199,1.795,28.608,160,-1.796,1,3,-0.063,0.517,yes
16,2170.987,0.399,1958.335,0.36,16.673,0.003,-8.414,249,-149.419,199,2.82,-27.565,160,-3.124,0,0,-0.314,-0.367,yes
17,2493.469,0.349,2058.939,0.288,15.889,0.002,-75.078,222,-134.552,199,2.586,18.073,156,-3.549,0,1,-1.223,0.134,yes
18,821.056,0.273,1844.05,0.613,10.859,0.004,110.756,246,-49.947,199,3.419,42.02,158,-2.243,1,1,-0.133,0.168,yes
19,100.252,0.127,634.278,0.805,4.168,0.005,40.166,241,-72.402,199,2.68,-0.3,163,-2.003,1,0,0.809,-0.531,yes
